2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0349340355182436	=	0.0349340355182436	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:36.3880
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0266053912887286	=	0.0266053912887286	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:36.6720
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.046270245719528	=	0.046270245719528	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:37.1370
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.034702684289646	=	0.034702684289646	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:37.7200
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0268367425173262	=	0.0268367425173262	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:37.8870
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0310010646320838	=	0.0310010646320838	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:38.1540
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.023135122859764	=	0.023135122859764	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:38.4690
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0229037716311664	=	0.0229037716311664	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:38.6700
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0386356551758059	=	0.0386356551758059	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:38.8520
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0268367425173262	=	0.0268367425173262	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:39.0360
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0272994449745215	=	0.0272994449745215	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:39.2350
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0226724204025687	=	0.0226724204025687	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:39.4690
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.023135122859764	=	0.023135122859764	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:39.6520
